countrycode,country,year,fdi,rgdpo,pop,csh_i,ave_income
AUS,Australia,1970,131.23822471263696,245432.5156,12.904760000000001,161.97779219999998,38.28653053
AUT,Austria,1970,44.1769262421704,98571.89844,7.509746000000001,116.91715559999999,26.42358373
BEL,Belgium,1970,,132337.3125,9.66432,153.7544803,27.56607005
CAN,Canada,1970,125.2428786158681,401553.4688,21.4392,110.1723348,37.70497459
CHE,Switzerland,1970,,163626.7656,6.169357,201.6422196,53.39225825
CHL,Chile,1970,,59831.21484,9.561867999999999,81.85369117,12.59647193
CZE,Czech Republic,1970,,,,,
DEU,Germany,1970,,1100585.125,78.366605,194.6125679,28.27199481
DNK,Denmark,1970,36.71715471705412,88582.28125,4.930118,147.307531,36.17040675
ESP,Spain,1970,32.736539275433934,360528.5938,33.92324,121.97828340000001,21.39470172
EST,Estonia,1970,,,,,
FIN,Finland,1970,9.54717515785993,65207.58984,4.60674,208.0283224,28.49497583
FRA,France,1970,25.2260839770919,818592.4375,51.998129999999996,160.4011108,31.69157688
GBR,United Kingdom,1970,68.64809449782614,839567.875,55.611401,130.4260084,30.39175801
GRC,Greece,1970,22.93968478164015,90212.52344,8.778675999999999,212.6056929,20.68719732
HUN,Hungary,1970,,53901.28906,10.345553,139.81833630000003,10.48840111
IRL,Ireland,1970,,25060.04688,2.947339,118.7464315,17.11652641
ISL,Iceland,1970,,3177.074463,0.20439200000000002,161.86102659999997,31.2915695
ISR,Israel,1970,,38031.20703,2.849623,147.659825,26.86683747
ITA,Italy,1970,33.2923156547692,632654.3125,53.52267,156.6741936,23.79537475
JPN,Japan,1970,,1233349.0,103.707537,193.7543591,23.94084705
KOR,"Korea, Rep.",1970,,65631.23438,31.437140999999997,129.062936,4.202728893
LUX,Luxembourg,1970,,6931.347656,0.339673,105.7294317,41.07906042
LVA,Latvia,1970,,,,,
MEX,Mexico,1970,52.97107832179625,410662.9375,52.029859,107.36323030000001,15.88900518
NLD,Netherlands,1970,101.21658815661748,214209.5938,12.96488,162.91595619999998,33.26092037
NOR,Norway,1970,30.10920881636982,52412.96875,3.875719,217.880548,27.22389893
NZL,New Zealand,1970,132.88371897551698,43532.99219,2.819548,111.9778697,31.08156462
POL,Poland,1970,,167580.2344,32.816751000000004,79.20235100000001,10.27995132
PRT,Portugal,1970,21.485083615333902,65582.75,8.670352000000001,128.2863699,15.22708389
SVK,Slovak Republic,1970,,,,,
SVN,Slovenia,1970,,,,,
SWE,Sweden,1970,17.37657504740927,141579.4844,8.049049,174.8307074,35.40948427
TUR,Turkey,1970,,225645.9531,34.772031,130.8423621,13.06355377
USA,United States,1970,7.060140711773548,4896409.5,209.485807,117.60079329999999,47.05296269
AUS,Australia,1971,153.43715034611236,254986.8594,13.150591,155.01986589999999,39.03339939
AUT,Austria,1971,48.1814922561031,103879.5156,7.543450999999999,115.6444585,27.72194442
BEL,Belgium,1971,,137538.5313,9.6929,146.5897543,28.56501763
CAN,Canada,1971,138.0543079531624,423456.125,21.790338000000002,114.5756308,39.12085145
CHE,Switzerland,1971,,170321.5781,6.221634,204.9480477,55.10982848
CHL,Chile,1971,,67709.52344,9.741579,70.98099282,13.99214337
CZE,Czech Republic,1971,,,,,
DEU,Germany,1971,26.708493464517346,1135553.75,78.584779,184.9527409,29.08928897
DNK,Denmark,1971,39.48304076516718,90858.50781,4.960476,144.6217781,36.87279794
ESP,Spain,1971,26.192319114457067,377599.1563,34.305591,115.27765159999998,22.15796928
EST,Estonia,1971,,,,,
FIN,Finland,1971,12.021666615256741,66482.25,4.6233889999999995,206.4308899,28.94737052
FRA,France,1971,19.093654869566684,867624.4375,52.441905000000006,154.92977230000002,33.30559239
GBR,United Kingdom,1971,72.09182653403408,851900.9375,55.785325,123.6549679,30.74206064
GRC,Greece,1971,17.35201855196176,97349.21875,8.819206,220.98167719999998,22.22116529
HUN,Hungary,1971,,57689.92578,10.381705,156.4342685,11.18652358
IRL,Ireland,1971,,25918.69141,2.984044,118.923755,17.485243899999997
ISL,Iceland,1971,,3824.119629,0.20705,231.6908685,37.18091567
ISR,Israel,1971,,42383.84375,2.936668,163.2173793,29.05422766
ITA,Italy,1971,26.683837619619382,648598.6875,53.891946,142.0511177,24.22791525
JPN,Japan,1971,,1305417.125,105.142875,187.5716082,24.99385833
KOR,"Korea, Rep.",1971,,76969.96875,32.087884,134.12613629999998,4.8288540310000005
LUX,Luxembourg,1971,,6706.621582,0.342224,120.76997820000001,39.45092453
LVA,Latvia,1971,,,,,
MEX,Mexico,1971,47.21288834570595,428955.9063,53.719547,99.1036854,16.07474738
NLD,Netherlands,1971,103.1314919654999,225881.2031,13.104216000000001,152.3861982,34.70027331
NOR,Norway,1971,38.85848098745015,56225.94922,3.90475,221.1585349,28.9872762
NZL,New Zealand,1971,82.2038840994399,44886.96875,2.87181,117.9572174,31.46504962
POL,Poland,1971,,179941.0,33.068996999999996,80.16535102,10.95400546
PRT,Portugal,1971,36.68511451928262,70490.47656,8.717871,116.4865489,16.27735572
SVK,Slovak Republic,1971,,,,,
SVN,Slovenia,1971,,,,,
SWE,Sweden,1971,12.371718194591717,143105.5781,8.090044,162.03906819999997,35.60979922
TUR,Turkey,1971,,233090.7656,35.608079,117.10917679999999,13.17772286
USA,United States,1971,4.491280719969118,5059147.5,211.357912,121.5345335,48.18619989
AUS,Australia,1972,122.24359575070558,263023.8438,13.364238,149.59452869999998,39.62002682
AUT,Austria,1972,39.73597108278468,110109.2891,7.57366,120.175191,29.26725559
BEL,Belgium,1972,,145957.9844,9.715672999999999,138.18378280000002,30.24257834
CAN,Canada,1972,112.60705148193692,447146.3438,22.141998,115.19193840000001,40.65338595
CHE,Switzerland,1972,,175936.8281,6.270112,200.0178647,56.48658321
CHL,Chile,1972,,67570.45313,9.916558,51.68678616,13.7170184
CZE,Czech Republic,1972,,,,,
DEU,Germany,1972,38.29569908530607,1190318.625,78.70010400000001,174.8016822,30.44750911
DNK,Denmark,1972,42.555707065008114,94624.58594,4.989146,148.9841485,38.18050121
ESP,Spain,1972,27.396723278730516,408714.6563,34.701025,122.53110249999999,23.7105569
EST,Estonia,1972,,,,,
FIN,Finland,1972,15.118064291656601,70943.45313,4.644847,190.5436427,30.74714224
FRA,France,1972,19.45366870298899,914270.0,52.919033,153.03125680000002,34.77974681
GBR,United Kingdom,1972,42.8452197432275,877802.8125,55.927492,114.04004760000001,31.59624479
GRC,Greece,1972,19.636173040624875,107159.1172,8.856097,235.9702497,24.3585038
HUN,Hungary,1972,,59059.64453,10.417419,130.3760106,11.41286139
IRL,Ireland,1972,,27935.117189999997,3.0275380000000003,127.0136132,18.57482543
ISL,Iceland,1972,,3763.851074,0.20986799999999997,180.0527964,36.10356215
ISR,Israel,1972,,46911.17969,3.033919,164.7986194,31.12692498
ITA,Italy,1972,28.058885195753252,681390.1875,54.262086,139.82333899999998,25.27919477
JPN,Japan,1972,,1424087.0,106.61653500000001,190.7462839,26.88907139
KOR,"Korea, Rep.",1972,,87210.28125,32.759446999999994,108.37858909999999,5.359138381
LUX,Luxembourg,1972,,7208.562988,0.34510799999999997,115.38666869999999,42.04917864
LVA,Latvia,1972,,,,,
MEX,Mexico,1972,23.791847097019215,465188.7188,55.480125,101.66003309999999,16.87934499
NLD,Netherlands,1972,84.22430878025261,234963.1406,13.239282999999999,137.0804833,35.72721135
NOR,Norway,1972,42.02218833852681,61980.38281,3.9329449999999997,183.6354926,31.72489748
NZL,New Zealand,1972,77.77457271976135,47470.77344,2.930469,117.33409340000001,32.61016697
POL,Poland,1972,,190113.9688,33.328713,79.59372018,11.48310487
PRT,Portugal,1972,39.15220172980185,76117.30469,8.806016,124.40272390000001,17.40074239
SVK,Slovak Republic,1972,,,,,
SVN,Slovenia,1972,,,,,
SWE,Sweden,1972,8.157172776613963,146729.2031,8.12156,154.6408705,36.36980294
TUR,Turkey,1972,,253391.2656,36.475356,124.88694,13.98478995
USA,United States,1972,6.346027170619423,5334608.0,213.219515,124.92774650000001,50.36622567
AUS,Australia,1973,13.93374095420164,274795.4375,13.55219,156.8843977,40.81914298
AUT,Austria,1973,32.834512301948415,115664.4688,7.598925,127.65853919999999,30.641615299999998
BEL,Belgium,1973,,156380.75,9.734411999999999,147.0585477,32.33980631
CAN,Canada,1973,146.19244602614586,480053.5625,22.488744,122.05607020000001,42.97227462
CHE,Switzerland,1973,,181320.1406,6.311468,202.4692429,57.83350437
CHL,Chile,1973,,65769.67969,10.087377,48.31992594,13.12536293
CZE,Czech Republic,1973,,,,,
DEU,Germany,1973,31.934397720382485,1256749.25,78.732884,167.4266483,32.13337342
DNK,Denmark,1973,41.58843074781359,98851.15625,5.015766,160.1364977,39.6742141
ESP,Spain,1973,29.97872543045514,439577.375,35.104633,130.0415216,25.20778816
EST,Estonia,1973,,,,,
FIN,Finland,1973,4.0217075317974045,75859.53906,4.668813,198.88977340000002,32.70902255
FRA,France,1973,25.65873437605328,980570.625,53.399306,155.70413280000002,36.96639607
GBR,United Kingdom,1973,85.25047671474375,939683.8125,56.039166,124.3045634,33.75622931
GRC,Greece,1973,16.724929944907554,115118.1797,8.897126,256.1718386,26.04701853
HUN,Hungary,1973,,61621.29297,10.454502,123.81097109999999,11.86564369
IRL,Ireland,1973,,29587.7793,3.076273,142.2766561,19.36205026
ISL,Iceland,1973,,4214.372559,0.212731,216.97914980000002,39.88099546
ISR,Israel,1973,,50762.05469,3.137029,163.72684619999998,32.57500608
ITA,Italy,1973,22.88345558493204,741303.625,54.623206999999994,150.1773792,27.32013088
JPN,Japan,1973,,1541062.125,108.085729,201.68472859999997,28.70222979
KOR,"Korea, Rep.",1973,,106989.875,33.435268,124.87481799999999,6.441718132999999
LUX,Luxembourg,1973,,8022.184081999999,0.348173,114.8530612,46.38327182
LVA,Latvia,1973,,,,,
MEX,Mexico,1973,49.83752051468942,504504.125,57.283361,109.7215247,17.72964649
NLD,Netherlands,1973,95.11375379148897,251833.2813,13.369326000000001,139.0144177,37.9199239
NOR,Norway,1973,55.91281633345043,64390.88672,3.9597050000000005,202.54684450000002,32.73598553
NZL,New Zealand,1973,96.10994483785136,51204.42188,2.989985,144.9655468,34.47484353
POL,Poland,1973,,200456.7969,33.597809999999996,79.80377631,12.01084778
PRT,Portugal,1973,37.94753454268112,84469.61719,8.923928,138.49266599999999,19.05497198
SVK,Slovak Republic,1973,,,,,
SVN,Slovenia,1973,,,,,
SWE,Sweden,1973,8.642580808294456,153195.6875,8.146472,152.55420469999999,37.85653121
TUR,Turkey,1973,,267355.7813,37.366921999999995,135.67044719999998,14.40343578
USA,United States,1973,8.946413793466945,5664941.5,215.0929,130.2933616,53.01920369
AUS,Australia,1974,90.42863469779111,266772.375,13.7254,135.840334,39.127283
AUT,Austria,1974,30.330590076976044,119681.0703,7.617432000000001,131.3221675,31.62865504
BEL,Belgium,1974,,163668.375,9.751592,165.2822138,33.78726938
CAN,Canada,1974,139.93582437849102,493423.7813,22.823272,135.716079,43.52171667
CHE,Switzerland,1974,,184032.0469,6.341051,213.0948675,58.42464157
CHL,Chile,1974,,62935.828129999994,10.255074,95.33585047,12.35443813
CZE,Czech Republic,1974,,,,,
DEU,Germany,1974,29.583896487122736,1276823.375,78.71392800000001,150.6537951,32.65450357
DNK,Denmark,1974,42.35425230197695,97179.57031,5.0399199999999995,157.6637614,38.81639314
ESP,Spain,1974,22.247216399155143,461051.5,35.509391,142.32697969999998,26.13786205
EST,Estonia,1974,,,,,
FIN,Finland,1974,8.484925709389694,78666.45313,4.691818,232.6806733,33.75299061
FRA,France,1974,38.98573786733464,1027725.5,53.83868199999999,156.9136002,38.42789179
GBR,United Kingdom,1974,127.91382052972344,911077.9375,56.12240500000001,118.0813388,32.68007938
GRC,Greece,1974,15.932456152398858,107811.0625,8.952862,216.44524619999999,24.24182334
HUN,Hungary,1974,,64790.98047,10.495442,146.1733122,12.42732526
IRL,Ireland,1974,39.03746276010489,30306.85547,3.128,149.1161297,19.50464183
ISL,Iceland,1974,,4535.095215,0.21546500000000002,263.4690192,42.3714691
ISR,Israel,1974,,53333.70703,3.239561,158.8441743,33.14205664
ITA,Italy,1974,18.07856132427329,794397.6875,54.961926,158.27579939999998,29.09644127
JPN,Japan,1974,,1533521.75,109.495053,198.4840175,28.19416831
KOR,"Korea, Rep.",1974,,127777.1484,34.091815999999994,151.0749736,7.545133045
LUX,Luxembourg,1974,,8520.456055,0.35119,106.4400375,48.84099985
LVA,Latvia,1974,,,,,
MEX,Mexico,1974,42.59761752216949,536447.75,59.090495,124.44446299999998,18.27568426
NLD,Netherlands,1974,77.210213343667,274902.6875,13.49346,131.758369,41.01280809
NOR,Norway,1974,76.8393025996769,70032.22656,3.9842910000000002,212.0583205,35.38430991
NZL,New Zealand,1974,107.81027861685881,53292.0625,3.042573,179.33093469999997,35.26024843
POL,Poland,1974,,216059.125,33.877396999999995,81.57543933,12.83885889
PRT,Portugal,1974,36.48597891484307,85775.85156,9.054924,131.4181374,19.069709399999997
SVK,Slovak Republic,1974,,,,,
SVN,Slovenia,1974,,,,,
SWE,Sweden,1974,7.09407355274712,156731.5625,8.169141,170.67492959999998,38.62281442
TUR,Turkey,1974,10.837753998557814,300323.3125,38.272701,198.6652118,15.79660575
USA,United States,1974,12.961347236035802,5613541.0,217.00186499999998,129.0234322,52.07595929
AUS,Australia,1975,28.24059913858034,272025.9688,13.892674,133.6000181,39.41743563
AUT,Austria,1975,11.905879412401703,120347.0469,7.628138000000001,116.99816909999998,31.76001822
BEL,Belgium,1975,,161893.125,9.769006,149.0483408,33.36121631
CAN,Canada,1975,117.43138797188466,498721.8125,23.140609,137.0571273,43.38578156
CHE,Switzerland,1975,,168555.8125,6.356178,170.39242209999998,53.38405126
CHL,Chile,1975,39.54548780269405,53067.63672,10.420589999999999,54.67160857,10.25182738
CZE,Czech Republic,1975,,,,,
DEU,Germany,1975,8.516406463653786,1275894.375,78.667327,139.58225969999998,32.6500744
DNK,Denmark,1975,39.75985323178026,95539.70313,5.061289,138.0362905,38.00026257
ESP,Spain,1975,35.95200859447017,463310.1563,35.909042,137.6759296,25.97358205
EST,Estonia,1975,,,,,
FIN,Finland,1975,13.953962847594198,76398.375,4.711459,242.714123,32.64318688
FRA,France,1975,26.127511924633307,1022991.438,54.20709,135.0923779,37.99091482
GBR,United Kingdom,1975,82.75159273672058,891427.6875,56.179925,103.8610737,31.94249314
GRC,Greece,1975,5.072015453633398,114055.7578,9.03008,205.4200678,25.426668600000003
HUN,Hungary,1975,,67689.375,10.541344,153.4124285,12.92672067
IRL,Ireland,1975,100.4231302740425,31709.26172,3.180805,113.96314879999998,20.06840844
ISL,Iceland,1975,,4558.227051,0.21795799999999999,252.8726268,42.10047407
ISR,Israel,1975,,55479.83984,3.33676,162.2732949,33.47141513
ITA,Italy,1975,17.141971327448378,784225.25,55.268549,126.41587290000001,28.56449857
JPN,Japan,1975,,1601717.75,110.804519,184.1167483,29.09995798
KOR,"Korea, Rep.",1975,,146048.75,34.713078,140.27246200000002,8.469710505
LUX,Luxembourg,1975,,7321.581543000001,0.353984,115.05459990000001,41.63754523
LVA,Latvia,1975,,,,,
MEX,Mexico,1975,31.40368555559166,565434.9375,60.872399,126.4696303,18.69933095
NLD,Netherlands,1975,75.06685511175579,271333.8438,13.611064,124.89044779999999,40.1306078
NOR,Norway,1975,40.28010977118369,77394.32031,4.006221,204.4254079,38.89000811
NZL,New Zealand,1975,64.09698304300024,52068.92188,3.0828830000000003,126.45213559999999,34.00050666
POL,Poland,1975,,228915.1406,34.168112,84.46306372,13.48706288
PRT,Portugal,1975,35.93856085059103,81084.625,9.185875999999999,77.57847679,17.76976892
SVK,Slovak Republic,1975,,,,,
SVN,Slovenia,1975,,,,,
SWE,Sweden,1975,5.917708841748846,159605.0313,8.192692999999998,181.6886227,39.21784654
TUR,Turkey,1975,15.397497883728597,322982.75,39.185637,195.0212987,16.59266951
USA,United States,1975,9.137731174890403,5582413.5,218.963561,115.79932140000001,51.32323243
AUS,Australia,1976,59.92543664591374,284435.7188,14.054955999999999,136.6384211,40.73976215
AUT,Austria,1976,12.80246690762192,123487.5391,7.630536,127.06836229999999,32.57856393
BEL,Belgium,1976,,172675.625,9.787576,149.9351601,35.51564739
CAN,Canada,1976,71.51969336486599,528172.6875,23.43994,137.3235909,45.36106997
CHE,Switzerland,1976,,167105.0,6.355245,161.4648469,52.932327799999996
CHL,Chile,1976,-0.5829172264766558,55323.74609,10.584237,52.17465062,10.52242575
CZE,Czech Republic,1976,,,,,
DEU,Germany,1976,15.384407267364313,1345902.875,78.604473,146.57576740000002,34.46912879
DNK,Denmark,1976,-25.73579211270729,101868.7891,5.079962,156.87257169999998,40.36867792
ESP,Spain,1976,24.362907376521207,484832.2188,36.302392,135.8669609,26.88562128
EST,Estonia,1976,,,,,
FIN,Finland,1976,10.9671158449238,76358.44531,4.726803,202.3266495,32.52021597
FRA,France,1976,15.826158208613997,1073647.0,54.49430400000001,142.72625290000002,39.6619672
GBR,United Kingdom,1976,77.90948975575715,938050.1875,56.212943,111.92222509999999,33.59337188
GRC,Greece,1976,59.02152815720859,121505.4297,9.132531,208.15245869999998,26.78356463
HUN,Hungary,1976,,74220.78125,10.593989,148.4300863,14.10359571
IRL,Ireland,1976,109.98528688292298,33159.875,3.234153,131.2632446,20.640307800000002
ISL,Iceland,1976,16.493748536204457,4558.899414,0.220162,195.50120800000002,41.68516210000001
ISR,Israel,1976,,55639.953129999994,3.427662,141.20102,32.67778507
ITA,Italy,1976,2.9250460982806517,863434.25,55.539118,137.1201505,31.296382399999995
JPN,Japan,1976,,1708270.0,111.99285800000001,183.248031,30.70647986
KOR,"Korea, Rep.",1976,16.397522263529122,160227.3125,35.290737,149.81978600000002,9.139862588
LUX,Luxembourg,1976,,7829.482422,0.356563,112.41632140000002,44.20390375
LVA,Latvia,1976,,,,,
MEX,Mexico,1976,49.53096235238842,596934.0,62.620087,115.48194280000001,19.190067199999998
NLD,Netherlands,1976,32.504104845900926,285235.625,13.722272,124.7558622,41.84480894
NOR,Norway,1976,62.29231124734302,80328.29688,4.025297,213.2277214,40.17301952
NZL,New Zealand,1976,122.95679380596496,53570.21484,3.108745,127.75558980000001,34.68982704
POL,Poland,1976,,235317.9688,34.468877,86.43445871,13.74332456
PRT,Portugal,1976,18.676777763271296,86113.92969,9.314300999999999,93.94712814,18.61174038
SVK,Slovak Republic,1976,,,,,
SVN,Slovenia,1976,,,,,
SWE,Sweden,1976,0.332845255244982,160661.4844,8.218630000000001,175.4243032,39.352850200000006
TUR,Turkey,1976,1.1755987315580614,357960.8125,40.100696,192.26112619999998,17.96997285
USA,United States,1976,10.43497836517114,5903297.0,220.993166,125.13661909999999,53.77490304
AUS,Australia,1977,62.330088453884244,289628.6563,14.211657,130.037925,41.02614007
AUT,Austria,1977,11.32281002693661,128682.3906,7.625724000000001,133.447834,33.97049569
BEL,Belgium,1977,,175397.3125,9.806885000000001,148.0224655,36.00440998
CAN,Canada,1977,96.05712903024167,547118.0,23.723801,131.7098064,46.42592623
CHE,Switzerland,1977,,170790.9375,6.341216,157.80471200000002,54.21957661
CHL,Chile,1977,9.066760280052813,60296.87891,10.746328,55.10569729,11.29532124
CZE,Czech Republic,1977,,,,,
DEU,Germany,1977,9.573241849353149,1396446.75,78.524727,145.11340959999998,35.79989812
DNK,Denmark,1977,9.17875267149572,104063.7734,5.095956,148.84839330000003,41.10907893
ESP,Spain,1977,27.733907777964724,505667.3438,36.687352000000004,130.1456026,27.746767
EST,Estonia,1977,,,,,
FIN,Finland,1977,8.64230180995908,76917.07813,4.738949,189.6407496,32.6741719
FRA,France,1977,27.861423099047087,1118702.75,54.715568999999995,139.917059,41.15926701
GBR,United Kingdom,1977,101.43965021942523,984904.3125,56.224943999999994,109.37557279999999,35.26377922
GRC,Greece,1977,64.49052068461617,123699.3203,9.255749,186.0960478,26.90416952
HUN,Hungary,1977,,83365.90625,10.650975,148.8537957,15.756616199999998
IRL,Ireland,1977,72.92733238353772,36516.42188,3.2876199999999995,143.72995559999998,22.35993045
ISL,Iceland,1977,11.636980901163527,5138.316895,0.222142,220.15721459999997,46.56440454
ISR,Israel,1977,,55719.32031,3.5135160000000005,129.4580057,31.92476586
ITA,Italy,1977,26.490838230297186,907941.4375,55.775934,124.41191570000001,32.76987856
JPN,Japan,1977,0.16713025131753484,1824979.375,113.067848,180.20529140000002,32.49246655
KOR,"Korea, Rep.",1977,14.809263472252237,174277.8906,35.832213,172.16690400000002,9.79112308
LUX,Luxembourg,1977,,7916.501953,0.35896100000000003,95.60778305,44.39661953
LVA,Latvia,1977,,,,,
MEX,Mexico,1977,24.1025498434942,620664.5625,64.337694,108.1563737,19.42027185
NLD,Netherlands,1977,29.10005779093631,288992.125,13.827329,129.40331559999998,42.07378258
NOR,Norway,1977,111.58474521476846,82887.4375,4.041789,206.8630064,41.28372934
NZL,New Zealand,1977,60.13561294031391,51467.27344,3.1225509999999996,116.29380959999999,33.18069415
POL,Poland,1977,,240995.2969,34.779313,87.65985185,13.94926788
PRT,Portugal,1977,16.283194135157906,91028.07813,9.441167,117.2991557,19.4094639
SVK,Slovak Republic,1977,,,,,
SVN,Slovenia,1977,,,,,
SWE,Sweden,1977,5.272273321039968,156860.8438,8.245975,152.51496709999998,38.29449787
TUR,Turkey,1977,2.773993939884874,353070.0313,41.020210999999996,142.69885580000002,17.32713712
USA,United States,1977,8.381121870862232,6184753.0,223.090871,130.8739027,55.80902137
AUS,Australia,1978,85.48241855667989,303346.6563,14.368542999999999,144.9885184,42.50013665
AUT,Austria,1978,13.8334094030815,128127.7422,7.616308999999999,121.3675406,33.86588772
BEL,Belgium,1978,,182262.0781,9.825778999999999,147.7861818,37.34162146
CAN,Canada,1978,103.12925901425913,569958.3125,23.994948,128.0766242,47.81752847
CHE,Switzerland,1978,,173297.0156,6.321583,167.6318647,55.18602146
CHL,Chile,1978,68.24018150917927,65030.828129999994,10.907900999999999,63.25436019,12.00167724
CZE,Czech Republic,1978,,,,,
DEU,Germany,1978,13.104032157188982,1444850.75,78.426715,148.7581959,37.08709438
DNK,Denmark,1978,8.934927899809967,106752.125,5.108836,142.7781747,42.06475982
ESP,Spain,1978,44.345305716371634,520651.9688,37.055640000000004,126.1406923,28.28505599
EST,Estonia,1978,,,,,
FIN,Finland,1978,5.615444227512656,80106.86719,4.7499400000000005,165.8294973,33.95044493
FRA,France,1978,29.403951121254373,1170870.0,54.897276,137.9938412,42.93601456
GBR,United Kingdom,1978,67.97637984177489,1052226.125,56.223974,106.7860043,37.67483749
GRC,Greece,1978,58.282814474367804,132472.4688,9.388188000000001,181.98385919999998,28.40584405
HUN,Hungary,1978,,93778.64844,10.704187,165.0507996,17.63657006
IRL,Ireland,1978,154.25631206560388,40047.22656,3.339499,152.3047476,24.14098428
